id,node_ids,road_name
168,267197869 1800585964 6681142080 6681142079 3745697621 12753584709 9990228459 3745729182 3745729183 6681148288 9712983485 3745729185 11900641300 267197901 6681148294 6681148295 267197897,Motilal Nehru Marg
169,267197917 5483954481 621248432 5483954482 6776599544,
170,6776599544 267197916 6776599531 5483954483 6776599534,
171,6776599534 267197926 5483954484 621248419 5483954485 267197925,
172,6681148314 7612154286 9859986618 7612154285 6681148320,Motilal Nehru Marg
173,8750357800 6681148367 12247930669 3644091680,Motilal Nehru Marg
174,267197931 267197932 267197933 267197934,Prime Chowk
175,5483954499 5483954495 5483954498 5483954497 267197944,Kumaraswami Kamaraj Marg
176,267197937 6657447412 267197949 6657447411 267609597 6657447423 6657447408 6657447409 6657447410,Tu-Tu Marg
177,267197934 4264008548 6657447431,Kumaraswami Kamaraj Marg
178,6657447436 7309155277 6657447435 6657447427,Kumaraswami Kamaraj Marg
179,5799663732 12192097078 4083435353 6436408280,Sansad Marg
180,6436408280 267250994,Sansad Marg
181,267250994 5434483896,Sansad Marg
182,249783293 12247930695 10248638952 10248624601 9323170812 249782337 1762945147 10248567779 1762945117 10248567781 1763007742 1191294765,Radial Road 1
183,1869716889 11399280783 12977871224 249782331,Radial Road 7
184,249783257 1762977449 12732783785 12732783786 1393416778 12247941847 267198390 11484318587 1869716906,Radial Road 6
185,249783316 6636469149 11462925675 10905351899 267198392 12247935603 1763007747 267198394,Radial Road 4
186,1869716913 11462925622 249782349 11462925649 3947529853 6169030314 249783308,Radial Road 3
187,1869716891 267198395 12901223741 267198396 11462925590 12901223734 4778146131 249782343 12901223722 6646336237,Radial Road 2
188,6646336237 249783302,Radial Road 2
189,267249915 267249916 267249899 5485189758 5485189740 5485189721,Gol Dakkhana Roundabout
190,267249914 5485189723 5485189725 5802016576 5485189724 5485189722 5485189726 6742331767 9212682358 9186342839,Ashoka Road
191,621248447 267249919 5484083378 621248445 5484083376 267249920,Patel Chowk
192,267249926 4083435329 5484083362 4083435331 10264334480 10264328233 10264334479 6531473581 10264334471 10264334466 10264334469 4083435332 10264334427 4083435338 10264334446 10264334421,Sansad Marg
193,10264334421 9794183554,Sansad Marg
194,9794183554 4083435341,Sansad Marg
195,4083435341 9212682340,Sansad Marg
196,3661513066 12247941854 10264255628 12247941853 10264255641 10264255633 12146151035 12146151042 3661513068 3661513070 3661513072 11462925576 395135103,Baba Kharak Singh Marg
197,249783302 11462925640 9884398738 9857860395 12247941852 9179109957 2566732703 6436650499 11002576800 11002576795 12145761703 12145761711 11001188164 11001188156 10264255648 267251007 3661513067 11778255749 3661513065,Baba Kharak Singh Marg
198,3661513065 11301690339,Baba Kharak Singh Marg
199,11301690339 11778255747 12319493472 4881456028 267249939 12247941856 3661513063 267249912,Baba Kharak Singh Marg
200,249786900 5487856796 5356930947 5487856795,Mandi House Chowk
201,5487856795 249786901 5487856794 10255351866 883993792 5487856793 249786902,Mandi House Chowk
202,249786902 5487856792 267249940 5487856791 267249941 5487856789 267249942 5487856790 939091163,Mandi House Chowk
203,267249930 3742418076 3742418072 6213742115,Ashoka Road
204,6213742115 10264362708 6213742118,Ashoka Road
205,6213742118 3749161031 10264362704 3742418070 12246292753 3742418069 3742418068,Ashoka Road
206,267249955 3742418060 3742418065 10264384010 10264384009 6213742119 3742418071 10264384033 3742418074 3742418075 3742418073,Ashoka Road
207,5977448436 267249954 5977448432 267249955,Ashoka Road
208,267249955 267249956 267249957 267249958 3742418068,Ashoka Road
209,3742418068 267249959 5977448433 267249960 267249961 5977448434,Ashoka Road
210,5977448434 267249962 267249963,Ashoka Road
211,267249963 5977448435 267249964,Ashoka Road
212,267249964 267249965 3742418047,Ashoka Road
213,3742418047 267249966 267249967 267249968 267249969 3742556270 10264328244 5977448436,Ashoka Road
214,267249964 3742418050 12246292750 7429323040 7429323052 10255011718 7135635375 7135635383 3742418044 11917919919 3742418042 3742418041 3742418043,Ashoka Road
215,9794183553 11002612717 10264303918 12185793068 11002612713 12185793079 267251009 12185793086 9182157245 9859502219 9182157243 12185793027 12185793030 267250998 9857860370 267250999 9859502220 10264303951 5487506616 5487506617,Jai Singh Road
216,12728184167 267251012 9883191550 9858009551 267251013 9858009550 267251015 2431986246 9858009549 10254996216 9858009548 5434483908,Janpath Lane
217,9794237536 267253227 13093899428 267253228,Rotary Number 49
218,267253228 621248406 267253210,Rotary Number 49
219,267253210 267253212,Rotary Number 49
220,267253212 4930107699 4930107698 266807277,Mother Teresa Crescent
221,450631313 1869716959,Bangla Sahib Road
222,1869716959 10810886219 3177903051 11006971219 1393278570 9843218522 3177903054 11015440232 11054054191 11015446883 1869716934 2592537503 13018550234,Bangla Sahib Road
223,5485189721 5802016575 1271972164 5485189119 5485189120 267259248 6720393134 5802016587 5802016584 6720393131 6720393132 5802016590 6720393128 5802016592 6720393114 6436625369 6720393116 10264640742 6720393117 6720393118 10264640745 10264640743 6720393119 10264645121 6720393120 6720393121 10264640782 6720393122 10264640784 6720393123 6720393126 6720393124 6720393125 5483954454,Pandit Pant Marg
224,6720393108 6720393107 6720393106 6720393110 6720393109 267259320 10264645122 10264645130 6720393112 12543053338 6720393113 267259322 6720393115 10264764670 5802016595 5802016596 6720393127 5802016589 5802016588 6720393130 6720393129 267259253 6720393133 5802016594 5802016591 5802016593 5485189764 1271972181 5485189730 5485189763 267249900,Pandit Pant Marg
225,267253224 12535380846 11792878924 9794237535 9794237532 12231569423 12231569418 12231547557 12231547553 12231547572 9794237533 12223581998 11773322155 9794237537,Talkatora Road
226,267259250 267253225,Talkatora Road
227,267259251 11773322156 6436821126 12325499131 12325499150 12325502744 12325502707 267259325 12325499192 267259252 267259455 11792878925 267259250,Talkatora Road
228,1368046429 10869887205,Red Cross Road
229,10869887205 9843742115 9843742070 267259270,Red Cross Road
230,267259274 5483954450 621248440 5483954451 267259273 5483954449 621248441,Rotary Number 47
231,621248441 5483954448 267259270,Rotary Number 47
232,267259270 5483954447 621248442 5483954446 6720393087,Rotary Number 47
233,5792664508 10264640770 267259274,Gurudwara Rakabganj Road
234,267253228 10780915184 267259327,North Avenue
235,267259327 267253210,North Avenue
236,267259412 6773338029 267259390 6773338028 4156355790 6773338027 267259376 6773338026 8757909138 267259371 9798407617 4156355791 8757909137 267259359 6776599579 267259334 267259333 267259332 4156355792 267259331 267259330 4156355793,
237,5483954444 9195214421 943560798 267259433 4231821234 267259329 5561970217,Church Road
238,5561970217 267259453 267259459 267259326,Church Road
239,267259921 267259923 267259924 267259925 267259926 267259928 267259929 267259930,
240,267259930 267259931,
241,267259931 267259932 267259933 267259936 267259942 267259944 941021567 267259945 267259921,
242,267259930 267259488,Church Road
243,267259488 267259931,Church Road
244,267259921 3734063083 267259947 11804801783 11804801785 11804801787 11804801789 267259946 266807256,
245,621248517 5483954642 621248516 5483954641 267609414 5483954640 621248526 5483954639 267609420 5483954638 621248525 5483954637 1633262432,
246,6657443540 621248529 621248530 267609496 621248531 621248532,Teen Murti Haifa Chowk
247,621248532 267609497 621248533,Teen Murti Haifa Chowk
248,621248533 621248534 267609498 12780247333,Teen Murti Haifa Chowk
249,12780247333 621248535 13214712484 621248536,Teen Murti Haifa Chowk
250,621248532 6657443542 6657443541 267609568 6657443543 6657443544 3742305717 3742305691 3742305410 3742305358 267609569 11540517109 6657443546 11545419488 6657443547,Teen Murti Marg
251,6657447384 6657447390,
252,6657447390 621248542 621248544 267609592 6657551993 621248547 7309995823,
253,7309995823 6657447385 6657552016 621248551 6657447386 3744058863 621248555 621248556 1446272008 267609595 6657447387,
254,6657447387 267609596 6657447388 6657447421,
255,6657447421 621248565 6657447389 6657447410,
256,6657447410 621248568 9695562432 6657447384,
257,6631291679 6631291673 6631291674 6631291677 6631291678,Govind Lal Sikka Marg
258,10086468128 10086468123,Govind Lal Sikka Marg
259,10086468123 6643057748 6643057745 10248775584 3085829744 3085829745 2397564953 11622270131 11622270130 11622270127 943641150 11622270129 9865797758 943640987 6734373701 11622270132 11622270133 11622270134 11622270135 11622270136 943640307 2397564954 943640247,Govind Lal Sikka Marg
260,943640247 2398081986 6734373700 6734777562 943640699,Govind Lal Sikka Marg
261,943640699 2644105419,Govind Lal Sikka Marg
262,271335620 271336004 271336005 6912102250 271336015 271336018 7429477954 271336019 6912102273 271336021 271335945 271335944 7429477982 271335950 9860309551 271335947 9860309552 9860309557 271336032 9860309556 9860309554 9860309555 9860309553 271336057 9860309558 9860309559 9860309560 9860309561 271336058 9860309563 9860309562 9860309564 271336061 9860309565 9860309566 271336063 9860309567 271336065 9860309569 9860309568 271336085 1868729071 1868729069,Sunset Boulevard
263,1868729069 3953762672,Sunset Boulevard
264,3953762672 1868729066 10175421557 271336185 271335990 10175421559 1307851128 10175421560 10175421561 7428947777 7428947776 7428947778 7428947780 7428947779 313349849 7428947781 6112322595 6112322596 6911979903 7428954285 7428947784 6191700276 1770563815 314356532 6486177774 271336025 7428954286 9910959409 6436532077 314925922 1868729059 12140614165 12140614164 6095157217 249120693,Sunset Boulevard
265,251691509 271335733,
266,271336000 271336002,
267,271335766 271335818,
