id,lat,lon,name
554257785,28.5290666,77.2048545,Malviya Nagar
554257787,28.5442564,77.2067072,Hauz Khas (Yellow Line)
554257789,28.5580022,77.2068211,Green Park
554257793,28.5741591,77.2093306,Dilli Haat - INA
554257797,28.5973548,77.2111269,Lok Kalyan Marg
554257800,28.6095117,77.2118249,Udyog Bhavan
554257805,28.5865942,77.2125637,Jor Bagh
554257818,28.6229537,77.2140587,Patel Chowk
554257820,28.6392249,77.2085684,Ramakrishna Ashram Marg
554257824,28.6234593,77.2425121,Supreme Court
554257827,28.6255914,77.2341954,Mandi House
554257831,28.6205832,77.2495452,Indraprastha
554257833,28.6288963,77.2113218,Shivaji Stadium
